#Distance(A)    Macroscopic-Average    Planar-Average
 27.9365            -0.00001            -0.00083
 27.9991            -0.00000            -0.00061
 28.0617            -0.00000            -0.00047
 28.1244            -0.00000            -0.00041
 28.1870            -0.00001            -0.00038
 28.2497            -0.00001            -0.00034
 28.3123            -0.00000            -0.00023
 28.3749            -0.00000            -0.00004
 28.4376            -0.00000             0.00025
 28.5002             0.00000             0.00060
 28.5628             0.00000             0.00096
 28.6255             0.00001             0.00128
 28.6881             0.00001             0.00150
 28.7508             0.00001             0.00160
 28.8134             0.00001             0.00155
 28.8760             0.00001             0.00138
 28.9387             0.00000             0.00112
 29.0013             0.00000             0.00080
 29.0640            -0.00000             0.00046
 29.1266            -0.00001             0.00012
 29.1892            -0.00001            -0.00019
 29.2519            -0.00002            -0.00046
 29.3145            -0.00002            -0.00070
 29.3771            -0.00002            -0.00088
 29.4398            -0.00003            -0.00101
 29.5024            -0.00003            -0.00105
 29.5651            -0.00003            -0.00101
 29.6277            -0.00003            -0.00089
 29.6903            -0.00003            -0.00069
 29.7530            -0.00003            -0.00045
 29.8156            -0.00002            -0.00020
 29.8782            -0.00002             0.00001
 29.9409            -0.00001             0.00014
 30.0035            -0.00001             0.00018
 30.0662            -0.00001             0.00012
 30.1288            -0.00000             0.00001
 30.1914             0.00000            -0.00011
 30.2541             0.00000            -0.00019
 30.3167             0.00001            -0.00020
 30.3793             0.00001            -0.00011
 30.4420             0.00002             0.00007
 30.5046             0.00002             0.00031
 30.5673             0.00003             0.00059
 30.6299             0.00003             0.00086
 30.6925             0.00003             0.00108
 30.7552             0.00003             0.00124
 30.8178             0.00003             0.00132
 30.8804             0.00003             0.00131
 30.9431             0.00003             0.00122
 31.0057             0.00002             0.00104
 31.0684             0.00002             0.00080
 31.1310             0.00002             0.00050
 31.1936             0.00001             0.00015
 31.2563             0.00001            -0.00021
 31.3189             0.00001            -0.00058
 31.3815             0.00000            -0.00092
 31.4442             0.00000            -0.00122
 31.5068             0.00000            -0.00144
 31.5695             0.00000            -0.00156
 31.6321             0.00000            -0.00158
 31.6947             0.00000            -0.00149
 31.7574             0.00001            -0.00131
 31.8200             0.00001            -0.00108
 31.8827             0.00001            -0.00085
 31.9453             0.00001            -0.00066
 32.0079             0.00001            -0.00053
 32.0706             0.00001            -0.00045
 32.1332             0.00001            -0.00040
 32.1958             0.00001            -0.00033
 32.2585             0.00001            -0.00019
 32.3211             0.00001             0.00003
 32.3838             0.00001             0.00033
 32.4464             0.00001             0.00068
 32.5090             0.00001             0.00105
 32.5717             0.00002             0.00137
 32.6343             0.00002             0.00159
 32.6969             0.00002             0.00169
 32.7596             0.00002             0.00165
 32.8222             0.00002             0.00148
 32.8849             0.00002             0.00121
 32.9475             0.00002             0.00088
 33.0101             0.00001             0.00052
 33.0728             0.00001             0.00016
 33.1354             0.00001            -0.00016
 33.1980             0.00000            -0.00045
 33.2607            -0.00001            -0.00070
 33.3233            -0.00001            -0.00089
 33.3860            -0.00002            -0.00102
 33.4486            -0.00002            -0.00106
 33.5112            -0.00003            -0.00102
 33.5739            -0.00003            -0.00090
 33.6365            -0.00003            -0.00070
 33.6991            -0.00003            -0.00045
 33.7618            -0.00002            -0.00020
 33.8244            -0.00002             0.00001
 33.8871            -0.00001             0.00015
 33.9497            -0.00001             0.00019
 34.0123            -0.00000             0.00013
 34.0750            -0.00000             0.00001
 34.1376             0.00000            -0.00013
 34.2003             0.00001            -0.00023
 34.2629             0.00001            -0.00026
 34.3255             0.00002            -0.00019
 34.3882             0.00003            -0.00002
 34.4508             0.00003             0.00022
 34.5134             0.00004             0.00050
 34.5761             0.00005             0.00077
 34.6387             0.00005             0.00101
 34.7014             0.00006             0.00117
 34.7640             0.00006             0.00125
 34.8266             0.00006             0.00124
 34.8893             0.00006             0.00115
 34.9519             0.00005             0.00098
 35.0145             0.00005             0.00073
 35.0772             0.00005             0.00043
 35.1398             0.00004             0.00008
 35.2025             0.00003            -0.00030
 35.2651             0.00003            -0.00068
 35.3277             0.00002            -0.00104
 35.3904             0.00002            -0.00135
 35.4530             0.00002            -0.00156
 35.5156             0.00001            -0.00167
 35.5783             0.00001            -0.00165
 35.6409             0.00001            -0.00152
 35.7036             0.00001            -0.00128
 35.7662             0.00002            -0.00099
 35.8288             0.00002            -0.00069
 35.8915             0.00002            -0.00043
 35.9541             0.00002            -0.00024
 36.0167             0.00002            -0.00012
 36.0794             0.00002            -0.00004
 36.1420             0.00002             0.00004
 36.2047             0.00002             0.00017
 36.2673             0.00002             0.00037
 36.3299             0.00002             0.00067
 36.3926             0.00002             0.00102
 36.4552             0.00002             0.00138
 36.5179             0.00003             0.00169
 36.5805             0.00003             0.00190
 36.6431             0.00003             0.00198
 36.7058             0.00004             0.00191
 36.7684             0.00004             0.00170
 36.8310             0.00004             0.00138
 36.8937             0.00004             0.00099
 36.9563             0.00004             0.00056
 37.0190             0.00004             0.00013
 37.0816             0.00004            -0.00027
 37.1442             0.00003            -0.00063
 37.2069             0.00002            -0.00093
 37.2695             0.00002            -0.00116
 37.3321             0.00001            -0.00130
 37.3948             0.00000            -0.00135
 37.4574            -0.00000            -0.00131
 37.5201            -0.00001            -0.00116
 37.5827            -0.00001            -0.00094
 37.6453            -0.00001            -0.00066
 37.7080            -0.00001            -0.00036
 37.7706            -0.00001            -0.00009
 37.8332            -0.00000             0.00010
 37.8959             0.00000             0.00020
 37.9585             0.00001             0.00018
 38.0212             0.00001             0.00008
 38.0838             0.00001            -0.00006
 38.1464             0.00002            -0.00019
 38.2091             0.00002            -0.00024
 38.2717             0.00003            -0.00019
 38.3343             0.00004            -0.00003
 38.3970             0.00004             0.00023
 38.4596             0.00005             0.00054
 38.5223             0.00006             0.00085
 38.5849             0.00007             0.00112
 38.6475             0.00007             0.00130
 38.7102             0.00007             0.00139
 38.7728             0.00007             0.00137
 38.8355             0.00007             0.00125
 38.8981             0.00007             0.00103
 38.9607             0.00007             0.00073
 39.0234             0.00006             0.00037
 39.0860             0.00005            -0.00005
 39.1486             0.00005            -0.00050
 39.2113             0.00004            -0.00096
 39.2739             0.00003            -0.00139
 39.3366             0.00003            -0.00175
 39.3992             0.00002            -0.00200
 39.4618             0.00002            -0.00209
 39.5245             0.00002            -0.00201
 39.5871             0.00002            -0.00177
 39.6497             0.00002            -0.00140
 39.7124             0.00002            -0.00096
 39.7750             0.00002            -0.00051
 39.8377             0.00002            -0.00014
 39.9003             0.00002             0.00013
 39.9629             0.00002             0.00029
 40.0256             0.00002             0.00035
 40.0882             0.00002             0.00038
 40.1508             0.00002             0.00046
 40.2135             0.00002             0.00063
 40.2761             0.00002             0.00092
 40.3388             0.00002             0.00128
 40.4014             0.00003             0.00168
 40.4640             0.00003             0.00202
 40.5267             0.00004             0.00224
 40.5893             0.00004             0.00231
 40.6519             0.00005             0.00220
 40.7146             0.00005             0.00194
 40.7772             0.00005             0.00156
 40.8399             0.00006             0.00109
 40.9025             0.00006             0.00057
 40.9651             0.00005             0.00005
 41.0278             0.00005            -0.00045
 41.0904             0.00005            -0.00089
 41.1531             0.00004            -0.00125
 41.2157             0.00003            -0.00153
 41.2783             0.00002            -0.00169
 41.3410             0.00002            -0.00174
 41.4036             0.00001            -0.00166
 41.4662             0.00000            -0.00147
 41.5289            -0.00000            -0.00119
 41.5915            -0.00000            -0.00083
 41.6542             0.00000            -0.00046
 41.7168             0.00001            -0.00013
 41.7794             0.00001             0.00012
 41.8421             0.00001             0.00023
 41.9047             0.00002             0.00022
 41.9673             0.00002             0.00010
 42.0300             0.00002            -0.00007
 42.0926             0.00002            -0.00022
 42.1553             0.00003            -0.00029
 42.2179             0.00003            -0.00022
 42.2805             0.00003            -0.00000
 42.3432             0.00004             0.00032
 42.4058             0.00005             0.00071
 42.4684             0.00006             0.00109
 42.5311             0.00006             0.00142
 42.5937             0.00006             0.00166
 42.6564             0.00007             0.00176
 42.7190             0.00007             0.00174
 42.7816             0.00006             0.00160
 42.8443             0.00006             0.00134
 42.9069             0.00006             0.00099
 42.9695             0.00005             0.00055
 43.0322             0.00004             0.00005
 43.0948             0.00004            -0.00050
 43.1575             0.00003            -0.00105
 43.2201             0.00002            -0.00158
 43.2827             0.00002            -0.00202
 43.3454             0.00001            -0.00233
 43.4080             0.00001            -0.00245
 43.4706             0.00001            -0.00237
 43.5333             0.00001            -0.00209
 43.5959             0.00001            -0.00165
 43.6586             0.00001            -0.00113
 43.7212             0.00001            -0.00062
 43.7838             0.00001            -0.00019
 43.8465             0.00002             0.00010
 43.9091             0.00002             0.00023
 43.9718             0.00001             0.00026
 44.0344             0.00001             0.00027
 44.0970             0.00001             0.00033
 44.1597             0.00001             0.00053
 44.2223             0.00001             0.00087
 44.2849             0.00001             0.00132
 44.3476             0.00001             0.00181
 44.4102             0.00002             0.00224
 44.4729             0.00003             0.00253
 44.5355             0.00003             0.00262
 44.5981             0.00003             0.00252
 44.6608             0.00004             0.00223
 44.7234             0.00004             0.00179
 44.7860             0.00004             0.00126
 44.8487             0.00004             0.00068
 44.9113             0.00004             0.00008
 44.9740             0.00003            -0.00049
 45.0366             0.00003            -0.00100
 45.0992             0.00002            -0.00143
 45.1619             0.00001            -0.00176
 45.2245             0.00001            -0.00196
 45.2871             0.00000            -0.00202
 45.3498            -0.00000            -0.00195
 45.4124            -0.00001            -0.00173
 45.4751            -0.00001            -0.00141
 45.5377            -0.00000            -0.00100
 45.6003             0.00000            -0.00057
 45.6630             0.00001            -0.00017
 45.7256             0.00001             0.00013
 45.7882             0.00002             0.00028
 45.8509             0.00002             0.00028
 45.9135             0.00002             0.00014
 45.9762             0.00002            -0.00007
 46.0388             0.00002            -0.00026
 46.1014             0.00002            -0.00037
 46.1641             0.00002            -0.00032
 46.2267             0.00003            -0.00010
 46.2894             0.00003             0.00027
 46.3520             0.00004             0.00072
 46.4146             0.00004             0.00118
 46.4773             0.00005             0.00157
 46.5399             0.00005             0.00185
 46.6025             0.00005             0.00198
 46.6652             0.00004             0.00195
 46.7278             0.00004             0.00178
 46.7905             0.00004             0.00149
 46.8531             0.00003             0.00109
 46.9157             0.00002             0.00061
 46.9784             0.00002             0.00006
 47.0410             0.00001            -0.00053
 47.1036             0.00000            -0.00115
 47.1663            -0.00000            -0.00173
 47.2289            -0.00000            -0.00222
 47.2916            -0.00001            -0.00256
 47.3542            -0.00001            -0.00269
 47.4168            -0.00001            -0.00257
 47.4795            -0.00001            -0.00224
 47.5421            -0.00000            -0.00173
 47.6047            -0.00000            -0.00114
 47.6674             0.00000            -0.00057
 47.7300             0.00000            -0.00012
 47.7927             0.00000             0.00016
 47.8553             0.00000             0.00027
 47.9179             0.00000             0.00026
 47.9806             0.00000             0.00023
 48.0432            -0.00000             0.00028
 48.1058            -0.00000             0.00048
 48.1685            -0.00000             0.00086
 48.2311             0.00000             0.00136
 48.2938             0.00000             0.00190
 48.3564             0.00001             0.00237
 48.4190             0.00001             0.00268
 48.4817             0.00001             0.00278
 48.5443             0.00002             0.00266
 48.6070             0.00002             0.00235
 48.6696             0.00002             0.00188
 48.7322             0.00001             0.00130
 48.7949             0.00001             0.00067
 48.8575             0.00000             0.00003
 48.9201            -0.00000            -0.00059
 48.9828            -0.00001            -0.00115
 49.0454            -0.00001            -0.00162
 49.1081            -0.00002            -0.00198
 49.1707            -0.00003            -0.00220
 49.2333            -0.00003            -0.00227
 49.2960            -0.00003            -0.00218
 49.3586            -0.00003            -0.00195
 49.4212            -0.00003            -0.00160
 49.4839            -0.00002            -0.00116
 49.5465            -0.00002            -0.00069
 49.6092            -0.00001            -0.00025
 49.6718            -0.00000             0.00007
 49.7344             0.00001             0.00025
 49.7971             0.00001             0.00025
 49.8597             0.00001             0.00011
 49.9223             0.00001            -0.00011
 49.9850             0.00002            -0.00032
 50.0476             0.00002            -0.00043
 50.1103             0.00002            -0.00039
 50.1729             0.00002            -0.00016
 50.2355             0.00003             0.00022
 50.2982             0.00003             0.00068
 50.3608             0.00004             0.00116
 50.4234             0.00004             0.00156
 50.4861             0.00003             0.00184
 50.5487             0.00003             0.00196
 50.6114             0.00002             0.00191
 50.6740             0.00002             0.00172
 50.7366             0.00001             0.00141
 50.7993             0.00000             0.00100
