#Distance(A)    Macroscopic-Average    Planar-Average
 34.9969             0.00006             0.00053
 35.0596             0.00006             0.00040
 35.1222             0.00006             0.00025
 35.1848             0.00006             0.00009
 35.2474             0.00006            -0.00008
 35.3100             0.00006            -0.00024
 35.3726             0.00007            -0.00039
 35.4352             0.00008            -0.00050
 35.4978             0.00010            -0.00057
 35.5604             0.00011            -0.00058
 35.6230             0.00011            -0.00053
 35.6856             0.00011            -0.00042
 35.7482             0.00011            -0.00028
 35.8108             0.00010            -0.00014
 35.8734             0.00009            -0.00002
 35.9360             0.00007             0.00005
 35.9986             0.00004             0.00005
 36.0613             0.00002             0.00001
 36.1239            -0.00001            -0.00004
 36.1865            -0.00003            -0.00006
 36.2491            -0.00006            -0.00004
 36.3117            -0.00008             0.00006
 36.3743            -0.00009             0.00020
 36.4369            -0.00010             0.00036
 36.4995            -0.00010             0.00050
 36.5621            -0.00010             0.00060
 36.6247            -0.00010             0.00063
 36.6873            -0.00009             0.00060
 36.7499            -0.00008             0.00051
 36.8125            -0.00007             0.00037
 36.8751            -0.00006             0.00021
 36.9377            -0.00005             0.00003
 37.0004            -0.00005            -0.00015
 37.0630            -0.00006            -0.00031
 37.1256            -0.00006            -0.00045
 37.1882            -0.00006            -0.00057
 37.2508            -0.00006            -0.00067
 37.3134            -0.00006            -0.00072
 37.3760            -0.00006            -0.00074
 37.4386            -0.00006            -0.00071
 37.5012            -0.00006            -0.00063
 37.5638            -0.00006            -0.00052
 37.6264            -0.00006            -0.00037
 37.6890            -0.00006            -0.00021
 37.7516            -0.00005            -0.00006
 37.8142            -0.00005             0.00005
 37.8768            -0.00004             0.00011
 37.9394            -0.00003             0.00011
 38.0021            -0.00002             0.00006
 38.0647            -0.00001            -0.00002
 38.1273             0.00001            -0.00010
 38.1899             0.00002            -0.00013
 38.2525             0.00003            -0.00011
 38.3151             0.00004            -0.00003
 38.3777             0.00005             0.00010
 38.4403             0.00005             0.00025
 38.5029             0.00005             0.00040
 38.5655             0.00006             0.00053
 38.6281             0.00006             0.00062
 38.6907             0.00006             0.00068
 38.7533             0.00006             0.00070
 38.8159             0.00007             0.00068
 38.8785             0.00007             0.00063
 38.9411             0.00007             0.00054
 39.0038             0.00007             0.00042
 39.0664             0.00007             0.00027
 39.1290             0.00007             0.00011
 39.1916             0.00007            -0.00006
 39.2542             0.00008            -0.00022
 39.3168             0.00009            -0.00037
 39.3794             0.00010            -0.00048
 39.4420             0.00011            -0.00056
 39.5046             0.00012            -0.00058
 39.5672             0.00012            -0.00054
 39.6298             0.00012            -0.00044
 39.6924             0.00012            -0.00030
 39.7550             0.00011            -0.00015
 39.8176             0.00009            -0.00001
 39.8802             0.00007             0.00008
 39.9428             0.00005             0.00012
 40.0055             0.00002             0.00010
 40.0681            -0.00001             0.00005
 40.1307            -0.00003             0.00002
 40.1933            -0.00006             0.00002
 40.2559            -0.00008             0.00008
 40.3185            -0.00009             0.00019
 40.3811            -0.00011             0.00032
 40.4437            -0.00011             0.00045
 40.5063            -0.00011             0.00054
 40.5689            -0.00011             0.00058
 40.6315            -0.00010             0.00055
 40.6941            -0.00008             0.00047
 40.7567            -0.00007             0.00034
 40.8193            -0.00006             0.00018
 40.8819            -0.00006             0.00001
 40.9446            -0.00005            -0.00016
 41.0072            -0.00006            -0.00032
 41.0698            -0.00006            -0.00047
 41.1324            -0.00006            -0.00059
 41.1950            -0.00007            -0.00069
 41.2576            -0.00007            -0.00075
