#Distance(A)    Macroscopic-Average    Planar-Average
 37.9585             0.00039            -0.00228
 38.0212             0.00046            -0.00266
 38.0838             0.00054            -0.00315
 38.1464             0.00065            -0.00363
 38.2091             0.00078            -0.00394
 38.2717             0.00092            -0.00391
 38.3343             0.00106            -0.00338
 38.3970             0.00122            -0.00232
 38.4596             0.00137            -0.00078
 38.5223             0.00151             0.00103
 38.5849             0.00165             0.00282
 38.6475             0.00178             0.00429
 38.7102             0.00188             0.00526
 38.7728             0.00193             0.00569
 38.8355             0.00192             0.00574
 38.8981             0.00184             0.00561
 38.9607             0.00167             0.00552
 39.0234             0.00144             0.00559
 39.0860             0.00117             0.00583
 39.1486             0.00089             0.00616
 39.2113             0.00063             0.00645
 39.2739             0.00041             0.00658
 39.3366             0.00026             0.00645
 39.3992             0.00017             0.00602
 39.4618             0.00014             0.00534
 39.5245             0.00016             0.00450
 39.5871             0.00020             0.00358
 39.6497             0.00023             0.00256
 39.7124             0.00024             0.00132
 39.7750             0.00022            -0.00030
 39.8377             0.00018            -0.00239
 39.9003             0.00011            -0.00487
 39.9629             0.00002            -0.00750
 40.0256            -0.00008            -0.00987
 40.0882            -0.00020            -0.01161
 40.1508            -0.00034            -0.01245
 40.2135            -0.00051            -0.01226
 40.2761            -0.00070            -0.01106
 40.3388            -0.00093            -0.00899
 40.4014            -0.00116            -0.00628
 40.4640            -0.00140            -0.00324
 40.5267            -0.00161            -0.00027
 40.5893            -0.00179             0.00223
 40.6519            -0.00194             0.00393
 40.7146            -0.00206             0.00471
 40.7772            -0.00214             0.00468
 40.8399            -0.00217             0.00414
 40.9025            -0.00216             0.00342
 40.9651            -0.00209             0.00274
 41.0278            -0.00196             0.00219
 41.0904            -0.00175             0.00171
 41.1531            -0.00150             0.00121
 41.2157            -0.00120             0.00061
 41.2783            -0.00089            -0.00008
 41.3410            -0.00058            -0.00077
 41.4036            -0.00030            -0.00133
 41.4662            -0.00005            -0.00166
 41.5289             0.00014            -0.00173
 41.5915             0.00027            -0.00158
 41.6542             0.00034            -0.00136
 41.7168             0.00037            -0.00121
 41.7794             0.00037            -0.00126
 41.8421             0.00035            -0.00154
 41.9047             0.00035            -0.00201
 41.9673             0.00036            -0.00254
 42.0300             0.00040            -0.00299
 42.0926             0.00045            -0.00322
 42.1553             0.00053            -0.00316
 42.2179             0.00063            -0.00275
 42.2805             0.00075            -0.00199
 42.3432             0.00089            -0.00089
 42.4058             0.00104             0.00043
 42.4684             0.00121             0.00183
 42.5311             0.00139             0.00312
 42.5937             0.00156             0.00410
 42.6564             0.00171             0.00466
 42.7190             0.00182             0.00478
 42.7816             0.00188             0.00459
 42.8443             0.00187             0.00426
 42.9069             0.00179             0.00397
 42.9695             0.00164             0.00383
 43.0322             0.00145             0.00388
 43.0948             0.00123             0.00406
 43.1575             0.00101             0.00428
 43.2201             0.00080             0.00445
 43.2827             0.00063             0.00452
 43.3454             0.00049             0.00449
 43.4080             0.00040             0.00439
 43.4706             0.00035             0.00428
 43.5333             0.00031             0.00416
 43.5959             0.00028             0.00393
 43.6586             0.00023             0.00339
 43.7212             0.00016             0.00235
 43.7838             0.00006             0.00067
